Timestamp,Timestamp (ESP32)
2025-10-10 05:35:59,2025-10-10 05:35:59
2025-10-10 05:36:05,2025-10-10 05:36:04
2025-10-10 05:36:10,2025-10-10 05:36:10
2025-10-10 05:36:15,2025-10-10 05:36:15
2025-10-10 05:36:20,2025-10-10 05:36:20
2025-10-10 05:36:25,2025-10-10 05:36:25
2025-10-10 05:36:30,2025-10-10 05:36:30
2025-10-10 05:36:35,2025-10-10 05:36:35
2025-10-10 05:36:40,2025-10-10 05:36:40
2025-10-10 05:36:45,2025-10-10 05:36:45
2025-10-10 05:36:50,2025-10-10 05:36:50
2025-10-10 05:36:55,2025-10-10 05:36:55
2025-10-10 05:37:01,2025-10-10 05:37:00
2025-10-10 05:37:06,2025-10-10 05:37:06
2025-10-10 05:37:11,2025-10-10 05:37:11
2025-10-10 05:37:16,2025-10-10 05:37:16
2025-10-10 05:37:21,2025-10-10 05:37:21
2025-10-10 05:37:26,2025-10-10 05:37:26
2025-10-10 05:37:31,2025-10-10 05:37:31
2025-10-10 05:37:36,2025-10-10 05:37:36
2025-10-10 05:37:41,2025-10-10 05:37:41
2025-10-10 05:37:46,2025-10-10 05:37:46
2025-10-10 05:37:51,2025-10-10 05:37:51
2025-10-10 05:37:57,2025-10-10 05:37:56
2025-10-10 05:38:02,2025-10-10 05:38:02
2025-10-10 05:38:07,2025-10-10 05:38:07
2025-10-10 05:38:12,2025-10-10 05:38:12
2025-10-10 05:38:17,2025-10-10 05:38:17
2025-10-10 05:38:22,2025-10-10 05:38:22
2025-10-10 05:38:27,2025-10-10 05:38:27
2025-10-10 05:38:32,2025-10-10 05:38:32
2025-10-10 05:38:37,2025-10-10 05:38:37
2025-10-10 05:38:42,2025-10-10 05:38:42
2025-10-10 05:38:47,2025-10-10 05:38:47
2025-10-10 05:38:53,2025-10-10 05:38:52
2025-10-10 05:38:58,2025-10-10 05:38:57
2025-10-10 05:39:03,2025-10-10 05:39:03
2025-10-10 05:39:08,2025-10-10 05:39:08
2025-10-10 05:39:13,2025-10-10 05:39:13
2025-10-10 05:39:18,2025-10-10 05:39:18
2025-10-10 05:39:23,2025-10-10 05:39:23
2025-10-10 05:39:28,2025-10-10 05:39:28
2025-10-10 05:39:33,2025-10-10 05:39:33
2025-10-10 05:39:38,2025-10-10 05:39:38
2025-10-10 05:39:43,2025-10-10 05:39:43
2025-10-10 05:39:49,2025-10-10 05:39:48
2025-10-10 05:39:54,2025-10-10 05:39:53
2025-10-10 05:39:59,2025-10-10 05:39:59
2025-10-10 05:40:04,2025-10-10 05:40:04
2025-10-10 05:40:09,2025-10-10 05:40:09
2025-10-10 05:40:14,2025-10-10 05:40:14
2025-10-10 05:40:19,2025-10-10 05:40:19
2025-10-10 05:40:24,2025-10-10 05:40:24
2025-10-10 05:40:29,2025-10-10 05:40:29
